항목명,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월_0,당기 1분기 3개월_1,당기 1분기 3개월_0,당기 1분기 3개월_1
비지배지분,CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,,,,"-541,035,279"
비지배지분,CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToNoncontrollingInterests,,,,"-498,422,159"
순확정급여부채의재측정요소,CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,,,,
지배기업소유주지분,CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,,,,"-19,222,895,788"
지배회사소유주지분,CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2020-03-31,1분기보고서,KRW,ifrs-full_ComprehensiveIncomeAttributableToOwnersOfParent,,,,"-19,482,459,718"
지분법자본변동,CJ프레시웨이,코스닥시장상장법인,463,음ㆍ식료품 및 담배 도매업,12,2020-03-31,1분기보고서,KRW,dart_ShareOfOtherComprehensiveIncomeOfAssociatesAndJointVenturesAccountedForUsingEquityMethodThatWillBeReclassifiedToProfitOrLossNetOfTax,,,,"85,000"
매도가능증권평가이익,CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2020-03-31,1분기보고서,KRW,entity00380429,,,,
보험수리적손익,CMG제약,코스닥시장상장법인,212,의약품 제조업,12,2020-03-31,1분기보고서,KRW,dart_OtherComprehensiveIncomeBeforeTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans,,,"130,401,661","130,401,661"
가맹매출액,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266,,,,"20,364,002"
가맹매출원가,CNH,코스닥시장상장법인,642,신탁업 및 집합투자업,12,2020-03-31,1분기보고서,KRW,entity00149266,,,,0
