,한글 Label,Element ID
357,계속영업기본주당이익(손실),ifrs-full_BasicEarningsLossPerShareFromContinuingOperations
358,중단영업기본주당이익(손실),ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations
359,희석주당이익(손실),ifrs-full_DilutedEarningsLossPerShare
360,계속영업희석주당이익(손실),ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations
361,중단영업희석주당이익(손실),ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations
346,"종속기업, 공동지배기업과 관계기업으로부터의 기타수익(비용)",ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates
38,영업비용,dart_OperatingExpenses
39,제품과 재공품의 변동,ifrs-full_ChangesInInventoriesOfFinishedGoodsAndWorkInProgress
40,기업이 수행한 용역으로서 자본화되어 있는 부분,ifrs-full_OtherWorkPerformedByEntityAndCapitalised
41,원재료와 소모품의 사용액,ifrs-full_RawMaterialsAndConsumablesUsed
42,종업원급여비용,ifrs-full_EmployeeBenefitsExpense
43,급여,ifrs-full_WagesAndSalaries
44,사회보장분담금,ifrs-full_SocialSecurityContributions
46,기타단기종업원급여,ifrs-full_OtherShorttermEmployeeBenefits
47,"퇴직급여비용, 확정기여제도",ifrs-full_PostemploymentBenefitExpenseDefinedContributionPlans
48,"퇴직급여비용, 확정급여제도",ifrs-full_PostemploymentBenefitExpenseDefinedBenefitPlans
49,해고급여비용,ifrs-full_TerminationBenefitsExpense
52,기타장기급여,ifrs-full_OtherLongtermBenefits
53,기타종업원비용,ifrs-full_OtherEmployeeExpense
1,포괄손익계산서 [abstract],ifrs-full_StatementOfComprehensiveIncomeAbstract
3,기타포괄손익,ifrs-full_OtherComprehensiveIncome
4,당기손익으로 재분류되지 않는항목(세후기타포괄손익),dart_OtherComprehensiveIncomeThatWillNotBeReclassifiedToProfitOrLossNetOfTax
5,자산재평가손익(세후기타포괄손익),ifrs-full_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRevaluation
6,확정급여제도의 재측정손익(세후기타포괄손익),dart_OtherComprehensiveIncomeNetOfTaxGainsLossesOnRemeasurementsOfDefinedBenefitPlans
