항목명,종목코드,회사명,시장구분,업종,업종명,결산월,결산기준일,보고서종류,통화,항목코드,당기 1분기 3개월
금융비용,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,ifrs-full_FinanceCosts,"29,284,442,901"
기타영업외수익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,dart_OtherGains,"43,003,391,229"
기타영업외비용,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,dart_OtherLosses,"5,620,840,368"
   보통주기본주당계속영업이익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,entity00117212_udf_IS_20191113181051975_EarningsPerShareAbstract,"3,974"
   보통주기본주당순이익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,entity00117212_udf_IS_2017119173312155_EarningsPerShareAbstract,"3,710"
   보통주희석주당계속영업이익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,entity00117212_udf_IS_2019111318115276_EarningsPerShareAbstract,"3,974"
   보통주희석주당순이익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,entity00117212_udf_IS_2017119173314219_EarningsPerShareAbstract,"3,710"
   구형우선주기본주당계속영업이익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,entity00117212_udf_IS_2019111318124836_EarningsPerShareAbstract,"3,974"
   구형우선주기본주당이익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,entity00117212_udf_IS_2017117161034205_EarningsPerShareAbstract,"3,710"
   구형우선주희석주당계속영업이익,[000150],두산,유가증권시장상장법인,715,회사 본부 및 경영 컨설팅 서비스업,12,2020-03-31,1분기보고서,KRW,entity00117212_udf_IS_2019111318126617_EarningsPerShareAbstract,"3,974"
