,항목코드,항목명
3307,ifrs-full_DilutedEarningsLossPerShare,   기본및희석우선주당이익
3322,ifrs-full_Revenue,매출액 및 지분법손익
3377,ifrs-full_OtherIncomeExpenseFromSubsidiariesJointlyControlledEntitiesAndAssociates,공동기업및관계기업투자이익
3385,ifrs-full_BasicEarningsLossPerShare,   계속기업기본주당이익(손실)
3386,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,   중단영업기본주당이익(손실)
3387,ifrs-full_DilutedEarningsLossPerShare,   계속기업희석주당이익(손실)
3388,ifrs-full_DilutedEarningsLossPerShareFromDiscontinuedOperations,   중단영업희석주당이익(손실)
13,ifrs-full_ProfitLossAttributableToAbstract,당기순이익의 귀속
14,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업의 소유주
15,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,   비지배지분
32,ifrs-full_ProfitLossAttributableToAbstract,분기순이익(손실)의 귀속
33,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업의 소유주지분
53,ifrs-full_ProfitLossAttributableToAbstract,당기순이익(손실)의 귀속 [abstract]
54,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업의 소유주에게 귀속되는 당기순이익(손실)
55,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,   비지배지분에 귀속되는 당기순이익(손실)
96,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,      계속영업우선주당이익(손실)
163,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업 소유주지분 당기순이익(손실)
164,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,   비지배지분 당기순이익(손실)
169,dart_RevenueFromConstruction,   공사수익
171,dart_RevenueFromServices,   용역매출액
178,dart_CostOfSalesFromServices,   용역매출원가
193,ifrs-full_ProfitLossAttributableToAbstract,분기순이익의 귀속
293,ifrs-full_RevenueFromSaleOfGoods,   제품및상품매출
294,ifrs-full_RevenueFromRenderingOfServices,   용역매출
295,ifrs-full_RevenueFromConstructionContracts,   건설형계약매출
335,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업 소유주지분
354,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업소유주지분
444,ifrs-full_ProfitLossAttributableToAbstract,분기순손익의 귀속
473,ifrs-full_ProfitLossAttributableToAbstract,분(반)기순이익(손실)의 귀속
518,ifrs-full_ProfitLossFromContinuingOperations,계속영업손실
519,ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업손실
521,ifrs-full_ProfitLossAttributableToAbstract,분기순손실의 귀속
522,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배회사의 소유주지분
523,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,   비지배주주지분
525,ifrs-full_BasicEarningsLossPerShare,   계속영업과 중단영업 기본및희석주당순손실
568,ifrs-full_ProfitLossAttributableToAbstract,반기순이익(손실)의 귀속
569,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업지분순이익(손실)
570,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,   비지배지분순이익(손실)
611,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업지분
647,dart_GainsOnDisposalsOfNoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,   매각예정자산처분이익
653,dart_LossesOnDisposalOfNonCurrentAssetsOrDisposalGroupsClassifiedAsHeldForSale,   매각예정자산처분손실
727,dart_OtherGains,공동기업 및 관계기업투자손익
738,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배회사소유주지분순이익
739,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,   비지배지분순이익
795,ifrs-full_EarningsPerShareAbstract,지배기업 지분에 대한 주당순이익
796,ifrs-full_BasicEarningsLossPerShare,   보통주 기본및희석주당손익
850,ifrs-full_ProfitLossFromDiscontinuedOperations,중단영업(손실)
853,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업소유주귀속 당기순이익(손실)
854,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,   비지배지분 귀속 당기순이익(손실)
871,ifrs-full_GainsLossesArisingFromDifferenceBetweenPreviousCarryingAmountAndFairValueOfFinancialAssetsReclassifiedAsMeasuredAtFairValue,관계기업에 대한 지분법손익
878,ifrs-full_ProfitLossAttributableToAbstract,당기순이익의귀속
996,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배주주순이익
997,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,   비지배주주순이익
1040,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배지분
1109,ifrs-full_ProfitLossAttributableToOwnersOfParent,   지배기업 귀속
1110,ifrs-full_ProfitLossAttributableToNoncontrollingInterests,   비지배지분 귀속
1164,ifrs-full_DilutedEarningsLossPerShareFromContinuingOperations,   계속영업희석주당이익(손실)
1226,ifrs-full_ProfitLossAttributableToAbstract,연결당기순이익
1254,ifrs-full_BasicEarningsLossPerShareFromContinuingOperations,      계속영업이익(손실)
1255,ifrs-full_BasicEarningsLossPerShareFromDiscontinuedOperations,      중단영업이익(손실)
1279,dart_LossesOnDisposalsOfFairValueFinancialAssetFinancialExpense,   당기손익인식금융자산처분손실(금융원가)
1313,ifrs-full_GainsLossesOnNetMonetaryPosition,관계기업 투자손익
